obs,name,address,total_staff,total_non_staff
269,LA County Registrar-Recorder/County Clerk Norwalk,"12400 Imperial Hwy Ste 2204, Norwalk, CA, 90650",44,0
270,LA County Sheriff's Department - East Los Angeles Station,"5019 E 3rd St, Los Angeles, CA, 90022",30,0
271,LA County Sheriff's Department - Industry Station,"150 N Hudson Ave, City of Industry, CA, 91744",15,0
272,LA County Sheriff's Department - Inmate Services Bureau Operations,"4700 W Ramona Blvd, Monterey Park, CA, 91754",5,0
273,Laborers' Local 300 Union,"2005 W Pico Blvd, Los Angeles, CA, 90006",3,0
274,LADWP - Northridge District,"18718 Rayen St, Northridge, CA, 91324",13,0
275,LAFD Fire Station 1,"2230 Pasadena Ave, Los Angeles, CA, 90031",11,0
276,LAFD Fire Station 60,"5320 Tujunga Ave, North Hollywood, CA, 91601",5,0
277,LAFD Fire Station 74,"7777 Foothill Blvd, Tujunga, CA, 91042",7,0
278,LAFD Fire Station 78,"4041 Whitsett Ave, Studio City, CA, 91604",11,0
279,LAFD Fire Station 98,"13035 Van Nuys Blvd, Pacoima, CA, 91331",5,0
280,Lake Balboa Lifeguard Station,"6300 Balboa Blvd, Van Nuys, CA, 91316",3,0
281,"Lakin Tires West, Inc.","15305 Spring Ave, Santa Fe Springs, CA, 90670",18,0
282,Lance Camper,"43120 Venture St, Lancaster, CA, 93535",45,0
283,Langer's Juice Company,"16195 Stephens St, City of Industry, CA, 91745",21,0
284,LAPD 77th Street Community Police Station,"7600 S Broadway, Los Angeles, CA, 90003",59,0
285,LAPD Central Community Police Station,"251 E 6th St, Los Angeles, CA, 90014",57,0
286,LAPD Foothill Community Police Station,"12760 Osborne St, Pacoima, CA, 91331",14,0
287,LAPD Headquarters,"100 W 1st St, Los Angeles, CA, 90012",54,0
288,LAPD Metropolitan Communications Dispatch Center,"100 N Los Angeles St, Los Angeles, CA, 90012",14,0
289,LAPD Newton Community Police Station,"3400 S Central Ave, Los Angeles, CA, 90011",86,0
290,LAPD North Hollywood Community Police Station,"11640 Burbank Blvd, North Hollywood, CA, 91601",16,0
291,LAPD Northeast Community Police Station,"3353 N San Fernando Rd, Los Angeles, CA, 90065",27,0
292,LAPD Olympic Community Police Station,"1130 S Vermont Ave, Los Angeles, CA, 90006",40,0
293,LAPD Rampart Community Police Station,"1401 W 6th St, Los Angeles, CA, 90017",44,0
294,LAPD Southeast Community Police Station,"145 W 108th St, Los Angeles, CA, 90061",48,0
295,LAPD Southwest Community Police Station,"1546 W Martin Luther King Jr Blvd, Los Angeles, CA, 90062",57,0
296,LAPD Topanga Community Police Station,"21501 Schoenborn St, Canoga Park, CA, 91304",25,0
297,LAPD Van Nuys Community Police Station,"6240 Sylmar Ave, Van Nuys, CA, 91401",25,0
298,LAPD Wilshire Community Police Station,"4861 Venice Blvd, Los Angeles, CA, 90019",36,0
299,Law Offices of Steffanie Stelnick,"28001 Smyth Dr, Ste 101, Valencia, CA, 91355",4,0
300,Law Offices of Todd L Melnik,"20920 Warner Center Ln, Woodland Hills, CA, 91367",3,0
301,LAX Terminal 4 - American Airlines,"400 World Way, Los Angeles, CA, 90045",216,0
302,LAX Terminal 5 - JetBlue Airways,"500 World Way, Los Angeles, CA, 90045",7,0
303,Legacy Frames,"11220 Wright Rd, Lynwood, CA, 90262",24,0
304,Level Furnishing,"888 S Olive St, Los Angeles, CA, 90014",16,0
305,Lexus of Cerritos,"18800 Studebaker Rd, Cerritos, CA, 90703",17,0
306,Liberty Ambulance LLC,"9441 Washburn Rd, Downey, CA, 90242",5,0
307,Lina Gale/Markwins,"230 S 9th Ave, City of Industry, CA, 91746",14,0
308,Lincare,"21821 Plummer St, Chatsworth, CA, 91311",4,0
309,Line 204 LLC,"12224 Montague St, Pacoima, CA, 91331",11,0
310,Lisi Aerospace,"2600 Skypark Dr, Torrance, CA, 90505",29,0
311,Little Caesars Pizza #5903,"751 S Workman St, San Fernando, CA, 91340",7,0
312,"Los Altos Food Products, LLC","450 Baldwin Park Blvd, City of Industry, CA, 91746",22,0
313,Los Amigos Restaurant,"2825 W Olive Ave, Burbank, CA, 91505",4,0
314,Los Angeles Dodgers LLC,"1000 Vin Scully Ave, Los Angeles, CA, 90012",12,1
315,"Los Angeles Motor Cars, Inc.","2025 S Figueroa St, Los Angeles, CA, 90007",41,0
316,Louis Vuitton US Manufacturing - Irwindale,"4775 Irwindale Ave, Irwindale, CA, 91706",14,0
317,Louis Vuitton US Manufacturing - San Dimas,"321 W Covina Blvd, San Dimas, CA, 91773",15,0
318,"LYMI, Inc.","2263 E Vernon Ave, Vernon, CA, 90058",21,0
319,Marathon Petroleum,"2350 E 223rd St, Carson, CA, 90810",34,0
